Model,Train_Mean,Train_Std,Validation_Mean,Validation_Std,Overfit_Gap,Is_Overfit
Decision Tree,0.977625093832204,0.0015241335884731552,0.9735756362105785,0.009240785005720672,0.004049457621625452, NO
XGBoost,0.9828935433465936,0.001495059022004736,0.972960745091633,0.0047742559530140295,0.009932798254960629, NO
SVM,0.977653349755491,0.001742110620838811,0.972925692023556,0.007818212397328116,0.004727657731934953, NO
Gradient Boosting,0.9946087099736193,0.0009222292525900533,0.971691673696401,0.01026581486796528,0.022917036277218306, NO
Random Forest,0.9917803864898136,0.0018989572750137012,0.9700924425206481,0.005345208209009259,0.021687943969165513, NO
AdaBoost,0.979295982543961,0.002655721920089819,0.9693179487307052,0.005382741044112644,0.009978033813255793, NO
Logistic Regression,0.9813568088729312,0.0017915253960902769,0.9674212247245191,0.005797525613921123,0.013935584148412117, NO
K-Nearest Neighbors,0.9510241699176619,0.001105271776358477,0.9508812697448039,0.0022260013123746934,0.00014290017285800705, NO
